Date,cos,sin
2019-04-22,-0.3484108069446808,0.9373419384643772
2019-04-23,-0.3644830148102912,0.9312100364121947
2019-04-24,-0.38044736628785164,0.9248025743285089
2019-04-25,-0.39629913726891813,0.9181214482844364
2019-04-26,-0.41203363695942635,0.9111686353326631
2019-04-27,-0.42764620926777464,0.9039461929224011
2019-04-28,-0.44313223418263453,0.8964562582905575
2019-04-29,-0.45848712914008766,0.8887010478292915
2019-04-30,-0.47370635037968,0.8806828564301475
2019-05-01,-0.48878539428899265,0.8724040568049612
2019-05-02,-0.503719798736334,0.8638670987837349
2019-05-03,-0.518505144391157,0.8550745085896932
2019-05-04,-0.533137056031809,0.8460288880917339
2019-05-05,-0.5476112038402312,0.8367329140344921
2019-05-06,-0.5619233046832195,0.8271893372462497
2019-05-07,-0.5760691233798758,0.8174009818249189
